Date/Time,Word Count,en,es-ES
2023.08.25-20.22.11,56,56,0
2023.08.25-20.25.47,52,52,0
2023.08.25-20.32.13,52,52,4
2023.08.25-20.37.12,52,52,52
2023.08.25-20.40.50,39,39,36
2023.08.25-20.42.52,39,39,37
2023.08.25-20.43.34,39,39,39
2023.08.25-21.02.23,39,39,38
2023.08.25-21.02.47,39,39,39
2023.08.25-23.16.05,42,42,39
2023.08.25-23.16.41,42,42,42
2023.08.26-10.31.39,46,46,42
2023.08.26-10.32.29,46,46,46
2023.08.26-13.47.07,48,48,46
2023.08.26-13.47.48,50,50,48
2023.08.26-13.48.07,50,50,50
2023.08.27-00.35.08,51,51,50
2023.08.27-00.35.36,51,51,51
2023.09.02-13.13.55,57,57,46
2023.09.02-13.15.17,57,57,57
2023.09.02-20.13.46,69,69,57
2023.09.02-20.14.44,69,69,69
2023.09.04-21.08.59,78,78,69
2023.09.04-21.09.42,78,78,78
2023.09.06-17.58.15,155,155,78
2023.09.06-17.59.07,155,155,81
2023.09.06-18.00.38,157,157,81
2023.09.06-18.00.56,157,157,83
2023.09.06-18.50.04,170,170,83
2023.09.07-18.21.06,921,921,83
2023.09.07-18.33.15,921,921,847
2023.09.07-18.33.44,847,847,847
2023.09.08-20.46.58,850,850,394
2023.09.09-19.56.03,412,412,84
2023.09.09-20.01.41,412,412,412
2023.09.10-10.00.31,423,423,412
2023.09.10-10.01.36,423,423,423
